"模块","页码","页面","变更","原画面文字","优化后画面文字","原按钮名称","优化后按钮名称"
"首次使用","P01","品牌开机与状态判断","保持","","","",""
"首次使用","P178","语言选择","已优化","语言 / English / 简体中文 / 繁體中文 / Deutsch / Français / Español / 继续","语言 / English / 简体中文 / 繁體中文 / Deutsch / Français / Español / 继续","返回 / English / 简体中文 / 繁體中文 / Deutsch / Français / Español / 继续","English / 简体中文 / 繁體中文 / Deutsch / Français / Español / 继续"
"首次使用","P02","设备连接","已优化","无线网络设置 / 用 LUMIQ 应用扫码","设备连接 / 用 LUMIQ 应用扫码","返回",""
"首次使用","P03","确认连接主设备","保持","设备连接 / 连接主设备？ / 确认设备在附近 / 暂不 / 连接","设备连接 / 连接主设备？ / 确认设备在附近 / 暂不 / 连接","暂不 / 连接","暂不 / 连接"
"首次使用","P04","正在连接设备","保持","正在连接设备 / 请将设备放在附近","正在连接设备 / 请将设备放在附近","",""
"首次使用","P37","设备连接超时","已优化","设备连接 / 连接超时 / 请将设备放在附近","设备连接 / 连接超时 / 请将设备放在附近 / 再试一下","返回","返回 / 再试一下"
"首次使用","P05","在小圆屏选择网络","已优化","选择网络 / Home / 需要密码 / LG01 Studio / 需要密码 / Guest / 无需密码 / 稍后","选择网络 / Home / LG01 Studio / Guest","返回 / Home需要密码 / LG01 Studio需要密码 / Guest无需密码 / 稍后 / 再次搜索","Home / LG01 Studio / Guest"
"首次使用","P110","设备端输入 Wi-Fi 密码","保持","Home / 密码 / a / b / c / d / e / f / g / h / i / j / k / l / ABC / ␣ / ⌫ / → / 1 / 3 / 显示 / 加入","Home / 密码 / a / b / c / d / e / f / g / h / i / j / k / l / ABC / ␣ / ⌫ / → / 1 / 3 / 显示 / 加入","返回 / 查看完整网络名称 / a / b / c / d / e / f / g / h / i / j / k / l / Switch to upper keyboard / 空格 / 删除字符 / 下一组字符 / 显示 / 加入","返回 / 查看完整网络名称 / a / b / c / d / e / f / g / h / i / j / k / l / Switch to upper keyboard / 空格 / 删除字符 / 下一组字符 / 显示 / 加入"
"首次使用","P111","Wi-Fi 连接中","已优化","正在连接 / 取消","正在连接 / 取消","返回 / 取消","取消"
"首次使用","P112","Wi-Fi 连接成功","已优化","无线网络已连接 / 继续","无线网络已连接 / 继续","返回 / 继续","继续"
"首次使用","P186","选择伙伴","已优化","我的角色 / Lumi / Pico / Momo / 使用角色","我的角色 / Lumi / Pico / Momo / 使用角色","返回 / Lumi / Pico / Momo / 使用角色","Lumi / Pico / Momo / 使用角色"
"首次使用","P07","角色进入设备","保持","你好，我是 Lumi","你好，我是 Lumi","",""
"首次使用","P09","早安待机","已优化","早上好","很高兴见到你","",""
"日常待机与功能入口","P10","角色信息待机","保持","78% / 15:31 / 24° / 9 月 12 日 · 周六","78% / 15:31 / 24° / 9 月 12 日 · 周六","智能对话 / Open 应用 / Open 2 notifications","智能对话 / Open 应用 / Open 2 notifications"
"日常待机与功能入口","P74","应用菜单","已优化","应用 / 更多 / 设置 / 录音 / 我的角色 / 提醒 / 智能对话 / 好友","我的伙伴 / 设置 / 录音 / 陪伴 / 日常 / 智能对话 / 好友","返回 to home / 更多 / 
                
                设置
               / 
                
                录音
               / 
                
                我的角色
               / 
                
                提醒
               / 
                
                智能对话
               / 
                
                好友
               / 返回","我的伙伴 / 
                
                设置
               / 
                
                录音
               / 陪伴已关闭 / 日常 / 
                
                智能对话
               / 
                
                好友
              "
"日常待机与功能入口","P17","每日微事件","已优化","今天 / 稍等一下 / 给你 / 稍后 / 播放","今天 / 想和你分享 / 来自每日内容 / 稍后 / 听听看","返回 / 稍后 / 播放","返回 / 稍后 / 听听看"
