"模块","流程阶段","页面类别","页号","页面名称","方案范围","声明分支数"
"首次使用","开机与连接主设备","主流程","P01","品牌开机与状态判断","当前方案","5"
"首次使用","开机与连接主设备","主流程","P178","语言选择","当前方案","1"
"首次使用","开机与连接主设备","主流程","P02","设备连接","当前方案","1"
"首次使用","开机与连接主设备","主流程","P03","确认连接主设备","当前方案","3"
"首次使用","开机与连接主设备","主流程","P04","正在连接设备","当前方案","2"
"首次使用","连接请求超时","异常恢复","P37","设备连接超时","当前方案","2"
"首次使用","在圆屏连接加密网络","主流程","P05","在小圆屏选择网络","当前方案","3"
"首次使用","在圆屏连接加密网络","主流程","P110","设备端输入无线网络密码","当前方案","8"
"首次使用","在圆屏连接加密网络","主流程","P111","无线网络连接中","当前方案","6"
"首次使用","在圆屏连接加密网络","主流程","P112","无线网络连接成功","当前方案","2"
"首次使用","选择伙伴与首次问候","主流程","P186","选择伙伴","当前方案","7"
"首次使用","选择伙伴与首次问候","主流程","P07","角色进入设备","当前方案","2"
"首次使用","选择伙伴与首次问候","主流程","P09","早安待机","当前方案","1"
"日常待机与功能入口","待机与环形应用菜单","主流程","P10","角色信息待机","当前方案","11"
"日常待机与功能入口","待机与环形应用菜单","主流程","P74","应用菜单","当前方案","8"
"日常待机与功能入口","每日分享与播报","相关状态","P17","每日微事件","当前方案","2"
"日常待机与功能入口","每日分享与播报","相关状态","P162","单次语音播报","当前方案","2"
"日常待机与功能入口","轻敲、翻转与夜间回应","相关状态","P12","轻敲回应","当前方案","1"
"日常待机与功能入口","轻敲、翻转与夜间回应","相关状态","P13","翻转躲藏","当前方案","2"
"日常待机与功能入口","轻敲、翻转与夜间回应","相关状态","P11","夜间回应","当前方案","2"
"日常待机与功能入口","时钟息屏","相关状态","P79","低功耗息屏待机","当前方案","2"
"智能对话","进入、聆听、回答与结束","主流程","P161","智能统一入口条件检查","当前方案","6"
"智能对话","进入、聆听、回答与结束","主流程","P14","正在听","当前方案","6"
"智能对话","进入、聆听、回答与结束","主流程","P15","正在思考","当前方案","4"
"智能对话","进入、聆听、回答与结束","主流程","P16","正在说话","当前方案","3"
"智能对话","进入、聆听、回答与结束","主流程","P76","智能对话结束","当前方案","3"
"智能对话","未听清、超时与安全回应","异常恢复","P41","未检测到语音","当前方案","2"
"智能对话","未听清、超时与安全回应","异常恢复","P43","角色回应延迟","当前方案","3"
"智能对话","未听清、超时与安全回应","异常恢复","P44","安全回应替代","当前方案","2"
"智能对话","未听清、超时与安全回应","异常恢复","P170","智能服务暂不可用","当前方案","2"
"我的伙伴与照顾","伙伴切换与状态总览","相关状态","P93","我的伙伴与等级","当前方案","9"
"我的伙伴与照顾","App 购买库存与喂养确认","主流程","P94","食物库存与喂养确认","当前方案","4"
"我的伙伴与照顾","库存不足、同步失败与照顾限制","异常恢复","P157","食物不足与照顾限制","当前方案","9"
"我的伙伴与照顾","清洁伙伴","相关状态","P95","清理互动","当前方案","3"
"我的伙伴与照顾","安排休息与休息中","主流程","P96","角色休息与照顾","当前方案","5"
"我的伙伴与照顾","安排休息与休息中","主流程","P175","角色休息进行中","当前方案","3"
"我的伙伴与照顾","探索与视角切换","相关状态","P97","探索角色视角","当前方案","4"
"我的伙伴与照顾","探索与视角切换","相关状态","P98","探索远视角","当前方案","4"
"我的伙伴与照顾","探索与视角切换","相关状态","P99","探索近视角","当前方案","4"
"我的伙伴与照顾","伙伴等级与升级反馈","相关状态","P18","角色等级提升","当前方案","1"
"我的伙伴与照顾","从照片生成新角色","主流程","P51","等待拍摄公仔","当前方案","2"
"我的伙伴与照顾","从照片生成新角色","主流程","P52","正在生成角色","当前方案","3"
"我的伙伴与照顾","从照片生成新角色","主流程","P53","公仔成功复活","当前方案","2"
"我的伙伴与照顾","确认更换与启用角色","主流程","P154","确认启用新角色","当前方案","2"
"我的伙伴与照顾","确认更换与启用角色","主流程","P155","正在启用角色","当前方案","2"
"我的伙伴与照顾","角色启用异常","异常恢复","P156","角色启用失败","当前方案","2"
"陪伴开关与安抚反馈","关闭、开启与声音安抚","主流程","P82","陪伴开关（关闭）","当前方案","3"
