"Page","Title","Module","Entry","Mode","Controls","Inputs","Unrendered branches","Unresolved commands"
"01","品牌开机与状态判断","setup","root","passive-or-external-device-state","0","0","5",""
"178","语言选择","setup","declared-route","locally-interactive-fixture","7","0","0",""
"02","设备连接","setup","declared-route","passive-or-external-device-state","0","0","1",""
"03","确认连接主设备","setup","declared-route","locally-interactive-fixture","2","0","1",""
"04","正在连接设备","setup","declared-route","passive-or-external-device-state","0","0","2",""
"37","设备连接超时","setup","declared-route","locally-interactive-fixture","2","0","0",""
"05","在小圆屏选择网络","setup","declared-route","locally-interactive-fixture","3","0","1",""
"110","设备端输入 Wi-Fi 密码","setup","declared-route","locally-interactive-fixture","20","0","1",""
"111","Wi-Fi 连接中","setup","declared-route","locally-interactive-fixture","1","0","5",""
"112","Wi-Fi 连接成功","setup","declared-route","locally-interactive-fixture","1","0","1",""
"186","选择伙伴","setup","declared-route","locally-interactive-fixture","4","0","3",""
"07","角色进入设备","setup","declared-route","passive-or-external-device-state","0","0","2",""
"09","早安待机","setup","declared-route","passive-or-external-device-state","0","0","1",""
"10","角色信息待机","daily","root","locally-interactive-fixture","3","0","10",""
"74","应用菜单","daily","declared-route","locally-interactive-fixture","7","0","1",""
"17","每日微事件","daily","declared-route","locally-interactive-fixture","3","0","0",""
"162","单次语音播报","daily","declared-route","locally-interactive-fixture","2","0","0",""
"12","轻敲回应","daily","hardware-input","locally-interactive-fixture","1","0","0",""
"13","翻转躲藏","daily","hardware-input","locally-interactive-fixture","1","0","2",""
"11","夜间回应","daily","hardware-input","locally-interactive-fixture","1","0","2",""
"79","低功耗息屏待机","daily","declared-route","locally-interactive-fixture","1","0","2",""
"161","AI 统一入口条件检查","chat","declared-route","locally-interactive-fixture","1","0","6",""
"14","正在听","chat","declared-route","locally-interactive-fixture","3","0","5",""
"15","正在思考","chat","declared-route","locally-interactive-fixture","3","0","3",""
"16","正在说话","chat","declared-route","locally-interactive-fixture","3","0","2",""
"76","AI 对话结束","chat","declared-route","locally-interactive-fixture","3","0","1",""
"41","未检测到语音","chat","declared-route","locally-interactive-fixture","3","0","0",""
"43","角色回应延迟","chat","declared-route","locally-interactive-fixture","3","0","1",""
"44","安全回应替代","chat","declared-route","locally-interactive-fixture","3","0","0",""
"170","AI 服务暂不可用","chat","declared-route","locally-interactive-fixture","2","0","0",""
"93","我的伙伴与等级","pet","declared-route","locally-interactive-fixture","8","0","1",""
"94","食物库存与喂养确认","pet","declared-route","locally-interactive-fixture","2","0","2",""
"157","食物不足与照顾限制","pet","declared-route","locally-interactive-fixture","2","0","7",""
"95","清理互动","pet","declared-route","locally-interactive-fixture","2","0","1",""
"96","角色休息与照顾","pet","declared-route","locally-interactive-fixture","2","0","3",""
"175","角色休息进行中","pet","declared-route","locally-interactive-fixture","2","0","1",""
"97","Explore 角色视角","pet","declared-route","locally-interactive-fixture","4","0","0",""
"98","Explore 远视角","pet","declared-route","locally-interactive-fixture","4","0","0",""
"99","Explore 近视角","pet","declared-route","locally-interactive-fixture","4","0","0",""
"18","角色等级提升","pet","app-callback","locally-interactive-fixture","2","0","0",""
"51","等待拍摄公仔","pet","app-initiated-flow","locally-interactive-fixture","2","0","1",""
"52","正在生成角色","pet","declared-route","locally-interactive-fixture","2","0","2",""
"53","公仔成功复活","pet","declared-route","locally-interactive-fixture","3","0","0",""
"154","确认启用新角色","pet","declared-route","locally-interactive-fixture","3","0","0",""
"155","正在启用角色","pet","declared-route","passive-or-external-device-state","0","0","2",""
"156","角色启用失败","pet","declared-route","locally-interactive-fixture","2","0","0",""
"82","陪伴开关（关闭）","care","declared-route","locally-interactive-fixture","2","0","1",""
"58","陪伴开关（开启）","care","declared-route","locally-interactive-fixture","2","0","3",""
"59","声音触发的轻声安抚","care","declared-route","locally-interactive-fixture","3","0","7",""
"60","通用情绪陪伴与呼吸","care","declared-route","locally-interactive-fixture","1","0","3",""
"61","持续高音量引导","care","declared-route","locally-interactive-fixture","1","0","3",""
"62","生气时的安全引导","care","declared-route","locally-interactive-fixture","1","0","3",""
"63","被拒绝后的失望","care","declared-route","locally-interactive-fixture","1","0","3",""
"64","同学或手足冲突","care","declared-route","locally-interactive-fixture","1","0","3",""
"65","睡前焦躁舒缓","care","declared-route","locally-interactive-fixture","1","0","3",""
"66","持续升级的安全提示","care","declared-route","locally-interactive-fixture","1","0","3",""
"70","准备录制语音便签","voice","declared-route","locally-interactive-fixture","3","0","2",""
"71","正在录制语音便签","voice","declared-route","locally-interactive-fixture","3","0","4",""
"122","录音本地保存中","voice","declared-route","passive-or-external-device-state","0","0","3",""
"123","录音已保存在设备","voice","declared-route","locally-interactive-fixture","3","0","3",""
"184","录音已暂停","voice","declared-route","locally-interactive-fixture","3","0","0",""
"81","录音期间 Note 提醒排队","voice","declared-route","locally-interactive-fixture","3","0","4",""
"121","录音低亮 REC","voice","declared-route","locally-interactive-fixture","3","0","3",""
"125","录音退出处置","voice","declared-route","locally-interactive-fixture","3","0","1",""
"177","删除录音二次确认","voice","declared-route","locally-interactive-fixture","3","0","0",""
"42","语音已取消","voice","declared-route","locally-interactive-fixture","2","0","1",""
"73","语音便签保存失败","voice","declared-route","locally-interactive-fixture","3","0","1",""
"158","录音存储空间不足","voice","declared-route","locally-interactive-fixture","1","0","0",""
"168","未保存录音缓存已过期","voice","declared-route","locally-interactive-fixture","3","0","0",""
"173","录音同步授权状态","voice","declared-route","locally-interactive-fixture","1","0","0",""
"171","录音仅本地保存","voice","declared-route","locally-interactive-fixture","3","0","0",""
"72","语音便签已同步","voice","declared-route","locally-interactive-fixture","2","0","1",""
"124","已存录音","voice","declared-route","locally-interactive-fixture","2","0","6",""
"182","录音播放详情","voice","declared-route","locally-interactive-fixture","3","1","0",""
"183","删除已保存录音确认","voice","declared-route","locally-interactive-fixture","3","0","0",""
"164","录音保存后查看排队提醒","voice","declared-route","locally-interactive-fixture","3","0","0",""
"187","日常菜单","reminders","declared-route","locally-interactive-fixture","3","0","0",""
"77","通知与提醒中心","reminders","declared-route","locally-interactive-fixture","3","0","3",""
"134","Note 状态详情","reminders","declared-route","locally-interactive-fixture","3","0","2",""
"67","Note 提前弹出提醒","reminders","timer-state","locally-interactive-fixture","3","0","1",""
"68","Note 到时弹出提醒","reminders","declared-route","locally-interactive-fixture","4","0","2",""
"69","提醒处理结果","reminders","declared-route","locally-interactive-fixture","3","0","0",""
"133","Note 已设为稍后","reminders","declared-route","locally-interactive-fixture","3","0","2",""
"167","多个同时到期的提醒","reminders","declared-route","locally-interactive-fixture","3","0","1",""
"159","Note 已由 App 更新","reminders","declared-route","locally-interactive-fixture","2","0","0",""
"135","通知中心空态","reminders","conditional-empty-state","locally-interactive-fixture","1","0","0",""
"103","今日计步","reminders","declared-route","locally-interactive-fixture","1","0","1",""
"107","计步暂不可用","reminders","declared-route","locally-interactive-fixture","2","0","0",""
"185","好友菜单","friends","declared-route","locally-interactive-fixture","4","0","0",""
"191","我的好友","friends","declared-route","locally-interactive-fixture","2","0","1",""
"54","碰一碰交友","friends","declared-route","locally-interactive-fixture","1","0","1",""
"55","确认碰一碰好友","friends","declared-route","locally-interactive-fixture","3","0","0",""
"176","朋友请求等待","friends","declared-route","locally-interactive-fixture","2","0","2",""
"56","好友与对方伙伴","friends","declared-route","locally-interactive-fixture","4","0","1",""
"188","确认添加对方宠物","friends","declared-route","locally-interactive-fixture","3","0","0",""
"189","正在添加对方宠物","friends","declared-route","locally-interactive-fixture","2","0","2",""
"190","对方宠物添加失败","friends","declared-route","locally-interactive-fixture","3","0","0",""
"169","账号社交策略不可用","friends","declared-route","locally-interactive-fixture","1","0","0",""
"87","好友互动","friends","declared-route","locally-interactive-fixture","3","0","0",""
"136","选择预置朋友问候","friends","declared-route","locally-interactive-fixture","4","0","2",""
"137","朋友问候发送中","friends","declared-route","locally-interactive-fixture","1","0","4",""
"138","朋友问候已发送","friends","declared-route","locally-interactive-fixture","2","0","0",""
"57","收到朋友互动","friends","remote-device-callback","locally-interactive-fixture","3","0","0",""
"139","朋友问候待发送","friends","declared-route","locally-interactive-fixture","3","0","1",""
"140","关系已失效","friends","declared-route","locally-interactive-fixture","1","0","0",""
"88","确认成为伴侣","friends","declared-route","locally-interactive-fixture","3","0","0",""
"89","等待对方确认伴侣","friends","declared-route","locally-interactive-fixture","3","0","2",""
"90","伴侣关系建立成功","friends","declared-route","locally-interactive-fixture","3","0","0",""
"141","发起本次共同生成邀请","friends","declared-route","locally-interactive-fixture","3","0","1",""
"143","等待本次生成同意","friends","declared-route","locally-interactive-fixture","3","0","2",""
"91","共同孵化新 Avatar","friends","declared-route","locally-interactive-fixture","2","0","3",""
"92","新 Avatar 诞生","friends","declared-route","locally-interactive-fixture","3","0","1",""
"102","新 Avatar 生成失败","friends","declared-route","locally-interactive-fixture","3","0","3",""
"142","收到共同生成邀请","friends","declared-route","locally-interactive-fixture","3","0","2",""
"145","取消生成请求确认","friends","declared-route","locally-interactive-fixture","3","0","1",""
"144","邀请结束","friends","declared-route","locally-interactive-fixture","1","0","0",""
"165","好友消息","friends","declared-route","locally-interactive-fixture","1","0","10",""
"180","设置总览","settings","declared-route","locally-interactive-fixture","7","0","0",""
"75","通用设置","settings","declared-route","locally-interactive-fixture","7","0","0",""
"31","音量调整","settings","declared-route","locally-interactive-fixture","1","1","0",""
"32","亮度调整","settings","declared-route","locally-interactive-fixture","1","1","0",""
"30","勿扰模式","settings","declared-route","locally-interactive-fixture","2","0","0",""
"28","AI 隐私说明","settings","declared-route","locally-interactive-fixture","1","0","0",""
"172","显示设置","settings","declared-route","locally-interactive-fixture","3","0","0",""
"181","关于设备","settings","declared-route","locally-interactive-fixture","3","0","0",""
"126","正在扫描 Wi-Fi","wifi","declared-route","locally-interactive-fixture","2","0","2",""
"109","无线网络","wifi","declared-route","locally-interactive-fixture","5","0","2",""
"174","查看所选网络名称","wifi","declared-route","locally-interactive-fixture","1","0","0",""
"114","确认关闭 Wi-Fi","wifi","declared-route","locally-interactive-fixture","3","0","0",""
"115","Wi-Fi 设置（已关闭）","wifi","declared-route","locally-interactive-fixture","2","0","0",""
"127","附近没有可用网络","wifi","declared-route","locally-interactive-fixture","2","0","0",""
"128","无线网络密码错误","wifi","declared-route","locally-interactive-fixture","2","0","0",""
"129","所选网络已消失","wifi","declared-route","locally-interactive-fixture","2","0","0",""
"21","离线陪伴模式","wifi","declared-route","locally-interactive-fixture","2","0","0",""
"22","重新连接","wifi","declared-route","locally-interactive-fixture","1","0","5",""
"78","云端服务不可用","wifi","declared-route","locally-interactive-fixture","1","0","0",""
"29","记忆同步范围","memories","declared-route","locally-interactive-fixture","3","0","1",""
"146","Soul Link 等待设备","memories","declared-route","locally-interactive-fixture","2","0","1",""
"147","Soul Link 传输中","memories","declared-route","locally-interactive-fixture","1","0","2",""
"148","Soul Link 校验中","memories","declared-route","passive-or-external-device-state","0","0","3",""
"08","Soul Link 完成","memories","declared-route","locally-interactive-fixture","2","0","0",""
"39","Soul Link 已中断","memories","declared-route","locally-interactive-fixture","3","0","1",""
"40","Soul Link 校验失败","memories","declared-route","locally-interactive-fixture","2","0","0",""
"149","Soul Link 已取消或撤权","memories","declared-route","locally-interactive-fixture","2","0","0",""
"23","入座充电提示","system","declared-route","locally-interactive-fixture","1","0","3",""
"24","充电中","system","declared-route","locally-interactive-fixture","1","0","14",""
"26","已充满","system","declared-route","locally-interactive-fixture","1","0","14",""
"25","内容同步中","system","declared-route","locally-interactive-fixture","2","0","3",""
"45","底座接触异常","system","declared-route","locally-interactive-fixture","1","0","1",""
"46","同步已暂停","system","declared-route","locally-interactive-fixture","3","0","1",""
"47","内容同步失败","system","declared-route","locally-interactive-fixture","3","0","1",""
"33","低电量提醒","system","declared-route","locally-interactive-fixture","2","0","1",""
"34","即将关机","system","declared-route","locally-interactive-fixture","1","0","2",""
"48","设备温度过高","system","declared-route","passive-or-external-device-state","0","0","2",""
"118","普通关机确认","system","declared-route","locally-interactive-fixture","3","0","1",""
"163","OTA 安装条件检查","system","declared-route","locally-interactive-fixture","3","0","1",""
"35","系统更新中","system","declared-route","passive-or-external-device-state","0","0","2",""
"49","系统更新完成","system","declared-route","locally-interactive-fixture","1","0","1",""
"153","硬件或系统重启","system","declared-route","passive-or-external-device-state","0","0","1",""
"50","OTA 失败后回退版本","system","declared-route","passive-or-external-device-state","0","0","2",""
"100","OTA 更新未安装","system","declared-route","locally-interactive-fixture","3","0","0",""
"101","系统恢复需要 App","system","declared-route","locally-interactive-fixture","1","0","1",""
"150","系统恢复手机操作指引","system","declared-route","locally-interactive-fixture","1","0","1",""
"151","系统恢复进行中","system","declared-route","passive-or-external-device-state","0","0","2",""
"152","系统恢复失败","system","declared-route","locally-interactive-fixture","2","0","0",""
